[2023/07/24 05:57:51] - Namespace(cGAN=False, arch='ResNet18', target_arch='ResNet18', target_defense='AT_v2', target_dir='./checkpoints/', data='CIFAR100', test_batch_size=500, data_path='~/datasets/', batch_size=512, epochs=300, lr=0.1, momentum=0.9, weight_decay=0.0001, steps_S=500, steps_G=15, lr_G=0.005, lr_z=0.015, gen_dim_z=256, gen_distribution='normal', lr_hee=0.03, steps_hee=10, query_mode='hee', epsilon=0.03137254901960784, num_steps=10, step_size=0.00784313725490196, result_dir='results/GAN', save_freq=50, seed=1, lam=3.0, label_smooth_value=0.02)
[2023/07/25 00:52:35] - Epoch 163 Finish, Time Cost 413, nature_acc 0.4754, robust_acc 0.1728
[2023/07/25 00:59:31] - Epoch 164 Finish, Time Cost 415, nature_acc 0.4847, robust_acc 0.1727
[2023/07/25 01:06:26] - Epoch 165 Finish, Time Cost 415, nature_acc 0.4802, robust_acc 0.1743
[2023/07/25 01:13:19] - Epoch 166 Finish, Time Cost 412, nature_acc 0.4821, robust_acc 0.1721
[2023/07/25 01:20:13] - Epoch 167 Finish, Time Cost 414, nature_acc 0.4765, robust_acc 0.1742
[2023/07/25 01:27:08] - Epoch 168 Finish, Time Cost 415, nature_acc 0.4824, robust_acc 0.1748
[2023/07/25 01:34:04] - Epoch 169 Finish, Time Cost 415, nature_acc 0.4826, robust_acc 0.1745
[2023/07/25 01:41:01] - Epoch 170 Finish, Time Cost 417, nature_acc 0.4784, robust_acc 0.1692
[2023/07/25 01:47:58] - Epoch 171 Finish, Time Cost 416, nature_acc 0.4886, robust_acc 0.1734
[2023/07/25 01:54:54] - Epoch 172 Finish, Time Cost 416, nature_acc 0.4813, robust_acc 0.1753
[2023/07/25 02:01:51] - Epoch 173 Finish, Time Cost 416, nature_acc 0.4874, robust_acc 0.1763
[2023/07/25 02:08:47] - Epoch 174 Finish, Time Cost 416, nature_acc 0.4848, robust_acc 0.1738
[2023/07/25 02:15:44] - Epoch 175 Finish, Time Cost 416, nature_acc 0.4845, robust_acc 0.1777
[2023/07/25 02:22:40] - Epoch 176 Finish, Time Cost 416, nature_acc 0.4804, robust_acc 0.1774
[2023/07/25 02:29:37] - Epoch 177 Finish, Time Cost 416, nature_acc 0.4878, robust_acc 0.1742
[2023/07/25 02:36:34] - Epoch 178 Finish, Time Cost 416, nature_acc 0.4869, robust_acc 0.1783
[2023/07/25 02:43:27] - Epoch 179 Finish, Time Cost 413, nature_acc 0.4912, robust_acc 0.1800
[2023/07/25 02:50:19] - Epoch 180 Finish, Time Cost 412, nature_acc 0.4868, robust_acc 0.1764
[2023/07/25 02:57:11] - Epoch 181 Finish, Time Cost 411, nature_acc 0.4850, robust_acc 0.1750
[2023/07/25 03:04:02] - Epoch 182 Finish, Time Cost 411, nature_acc 0.4866, robust_acc 0.1787
[2023/07/25 03:10:53] - Epoch 183 Finish, Time Cost 411, nature_acc 0.4931, robust_acc 0.1818
[2023/07/25 03:17:45] - Epoch 184 Finish, Time Cost 411, nature_acc 0.4921, robust_acc 0.1776
[2023/07/25 03:24:36] - Epoch 185 Finish, Time Cost 411, nature_acc 0.4875, robust_acc 0.1805
[2023/07/25 03:31:27] - Epoch 186 Finish, Time Cost 410, nature_acc 0.4879, robust_acc 0.1757
[2023/07/25 03:38:19] - Epoch 187 Finish, Time Cost 412, nature_acc 0.4889, robust_acc 0.1772
[2023/07/25 03:45:11] - Epoch 188 Finish, Time Cost 412, nature_acc 0.4899, robust_acc 0.1791
[2023/07/25 03:52:02] - Epoch 189 Finish, Time Cost 410, nature_acc 0.4893, robust_acc 0.1803
[2023/07/25 03:58:53] - Epoch 190 Finish, Time Cost 411, nature_acc 0.4918, robust_acc 0.1793
[2023/07/25 04:05:44] - Epoch 191 Finish, Time Cost 410, nature_acc 0.4895, robust_acc 0.1816
[2023/07/25 04:12:35] - Epoch 192 Finish, Time Cost 411, nature_acc 0.4934, robust_acc 0.1810
[2023/07/25 04:19:27] - Epoch 193 Finish, Time Cost 411, nature_acc 0.4907, robust_acc 0.1809
[2023/07/25 04:26:18] - Epoch 194 Finish, Time Cost 411, nature_acc 0.4856, robust_acc 0.1795
[2023/07/25 04:33:10] - Epoch 195 Finish, Time Cost 412, nature_acc 0.4958, robust_acc 0.1813
[2023/07/25 04:40:04] - Epoch 196 Finish, Time Cost 413, nature_acc 0.4975, robust_acc 0.1798
[2023/07/25 04:46:57] - Epoch 197 Finish, Time Cost 412, nature_acc 0.4900, robust_acc 0.1818
[2023/07/25 04:53:49] - Epoch 198 Finish, Time Cost 412, nature_acc 0.4872, robust_acc 0.1796
[2023/07/25 05:00:41] - Epoch 199 Finish, Time Cost 411, nature_acc 0.4954, robust_acc 0.1840
[2023/07/25 05:07:33] - Epoch 200 Finish, Time Cost 411, nature_acc 0.4942, robust_acc 0.1813
[2023/07/25 05:14:24] - Epoch 201 Finish, Time Cost 411, nature_acc 0.4928, robust_acc 0.1841
[2023/07/25 05:21:16] - Epoch 202 Finish, Time Cost 411, nature_acc 0.4928, robust_acc 0.1812
[2023/07/25 05:28:08] - Epoch 203 Finish, Time Cost 411, nature_acc 0.4952, robust_acc 0.1821
[2023/07/25 05:35:00] - Epoch 204 Finish, Time Cost 412, nature_acc 0.4885, robust_acc 0.1814
[2023/07/25 05:41:54] - Epoch 205 Finish, Time Cost 413, nature_acc 0.4920, robust_acc 0.1826
[2023/07/25 05:48:43] - Epoch 206 Finish, Time Cost 408, nature_acc 0.4986, robust_acc 0.1866
[2023/07/25 05:55:31] - Epoch 207 Finish, Time Cost 408, nature_acc 0.4932, robust_acc 0.1881
[2023/07/25 06:02:19] - Epoch 208 Finish, Time Cost 407, nature_acc 0.4993, robust_acc 0.1865
[2023/07/25 06:09:07] - Epoch 209 Finish, Time Cost 407, nature_acc 0.4949, robust_acc 0.1854
[2023/07/25 06:15:54] - Epoch 210 Finish, Time Cost 406, nature_acc 0.4981, robust_acc 0.1906
[2023/07/25 06:22:41] - Epoch 211 Finish, Time Cost 406, nature_acc 0.5008, robust_acc 0.1849
[2023/07/25 06:29:28] - Epoch 212 Finish, Time Cost 407, nature_acc 0.4990, robust_acc 0.1863
[2023/07/25 06:36:16] - Epoch 213 Finish, Time Cost 407, nature_acc 0.4996, robust_acc 0.1876
[2023/07/25 06:43:03] - Epoch 214 Finish, Time Cost 407, nature_acc 0.5006, robust_acc 0.1894
[2023/07/25 06:49:58] - Epoch 215 Finish, Time Cost 414, nature_acc 0.5027, robust_acc 0.1876
[2023/07/25 06:56:54] - Epoch 216 Finish, Time Cost 415, nature_acc 0.4995, robust_acc 0.1855
[2023/07/25 07:03:49] - Epoch 217 Finish, Time Cost 415, nature_acc 0.5014, robust_acc 0.1897
[2023/07/25 07:10:44] - Epoch 218 Finish, Time Cost 415, nature_acc 0.5042, robust_acc 0.1871
[2023/07/25 07:17:39] - Epoch 219 Finish, Time Cost 414, nature_acc 0.5041, robust_acc 0.1885
[2023/07/25 07:24:34] - Epoch 220 Finish, Time Cost 415, nature_acc 0.5004, robust_acc 0.1866
[2023/07/25 07:31:29] - Epoch 221 Finish, Time Cost 414, nature_acc 0.5030, robust_acc 0.1952
[2023/07/25 07:38:24] - Epoch 222 Finish, Time Cost 415, nature_acc 0.5031, robust_acc 0.1860
[2023/07/25 07:45:19] - Epoch 223 Finish, Time Cost 414, nature_acc 0.5009, robust_acc 0.1878
